date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:38:46	713/713	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2005%20Feb%202022%2003:38:47%20GMT	https://cmwapps.com/robots.txt		(from )
19:38:46	23008/23008	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Dec%202021%2009:14:17%20GMT	https://cmwapps.com/	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/index.html	(from )
19:38:47	178005/178005	---MCZ	200	added ('OK')	text/css	etag:W/%222b755-61789f91-65b2af089cd8cbd1;;;%22	https://cmwapps.com/css/framework7.ios.min.css	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/css/framework7.ios.min.css	(from https://cmwapps.com/)
19:38:47	128528/128528	---MCZ	200	added ('OK')	text/css	etag:W/%221f610-61789f91-51c42549bf7e8839;;;%22	https://cmwapps.com/css/framework7.ios.colors.min.css	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/css/framework7.ios.colors.min.css	(from https://cmwapps.com/)
19:38:47	30625/30625	---MCZ	200	added ('OK')	text/css	etag:W/%2277a1-61789f90-9ee79c74911365e1;;;%22	https://cmwapps.com/css/appvalley.css	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/css/appvalley.css	(from https://cmwapps.com/)
19:38:47	123370/123370	---M--	200	added ('OK')	image/jpeg	etag:%221e1ea-61789f79-90fffa22917bfd97;;;%22	https://cmwapps.com/logo.JPG	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/logo.jpg	(from https://cmwapps.com/)
19:38:47	204758/204758	---M--	200	added ('OK')	image/png	etag:%2231fd6-61789f8a-7435138334ab83d5;;;%22	https://cmwapps.com/ten.PNG	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/ten.png	(from https://cmwapps.com/)
19:38:48	7420/7420	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Oct%202021%2000:39:11%20GMT	https://cmwapps.com/itweakvip/OGInject/t1.html	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/itweakvip/OGInject/t1.html	(from https://cmwapps.com/)
19:38:48	7413/7413	---MCZ	200	added ('OK')	text/html	date:Wed,%2027%20Oct%202021%2000:39:11%20GMT	https://cmwapps.com/itweakvip/OGInject/t3.html	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/itweakvip/OGInject/t3.html	(from https://cmwapps.com/)
19:38:48	44688/44688	---M--	200	added ('OK')	image/jpeg	etag:%22ae90-619dff00-102b9f890c15d0b4;;;%22	https://cmwapps.com/crab.jpg	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/crab.jpg	(from https://cmwapps.com/)
19:38:49	7436/7436	---MCZ	200	added ('OK')	text/html	date:Wed,%2024%20Nov%202021%2009:00:04%20GMT	https://cmwapps.com/itweakvip/OGInject/crab.html	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/itweakvip/OGInject/crab.html	(from https://cmwapps.com/)
19:38:49	96880/96880	---M--	200	added ('OK')	image/png	etag:%2217a70-61789f79-1039382b8f3c996f;;;%22	https://cmwapps.com/mt.png	C:/Users/sltsh/OneDrive/Documents/New%20folder/sixthtrip/cmwapps.com/mt.png	(from https://cmwapps.com/)
